"district_id","state_id","n_non","n_dalit","emp_rate_non","emp_rate_dalit","within_gap"
13,"(27) Maharashtra 27",566,87,61.3074204946996,57.4712643678161,-3.83615612688356
13,"(28) Andhra Pradesh 28",392,69,45.6632653061224,44.9275362318841,-0.735729074238392
13,"(29) Karnataka 29",442,148,55.6561085972851,52.027027027027,-3.62908157025804
13,"(33) Tamil Nadu 33",78,87,35.8974358974359,48.2758620689655,12.3784261715296
14,"(08) Rajasthan 08",425,92,30.8235294117647,34.7826086956522,3.95907928388747
14,"(09) Uttar Pradesh 09",524,196,38.7404580152672,47.9591836734694,9.2187256582022
14,"(10) Bihar 10",691,163,38.0607814761216,30.6748466257669,-7.38593485035469
14,"(20) Jharkhand 20",967,133,50.4653567735264,44.3609022556391,-6.10445451788728
14,"(21) Orissa 21",107,45,43.9252336448598,37.7777777777778,-6.14745586708204
14,"(27) Maharashtra 27",410,70,56.3414634146341,42.8571428571429,-13.4843205574913
14,"(32) Kerala 32",454,77,28.1938325991189,32.4675324675325,4.27369986841352
14,"(33) Tamil Nadu 33",38,26,57.8947368421053,50,-7.89473684210527
15,"(08) Rajasthan 08",1123,318,44.2564559216385,51.2578616352201,7.00140571358166
15,"(09) Uttar Pradesh 09",313,176,32.5878594249201,36.9318181818182,4.34395875689805
15,"(21) Orissa 21",404,252,39.1089108910891,41.2698412698413,2.16093037875216
15,"(23) Madhya Pradesh 23",80,38,62.5,47.3684210526316,-15.1315789473684
15,"(24) Gujarat 24",480,28,41.0416666666667,39.2857142857143,-1.75595238095238
15,"(27) Maharashtra 27",150,108,28,34.2592592592593,6.25925925925926
15,"(28) Andhra Pradesh 28",456,168,42.1052631578947,47.6190476190476,5.51378446115288
15,"(29) Karnataka 29",631,150,51.3470681458003,54.6666666666667,3.31959852086635
15,"(33) Tamil Nadu 33",729,214,46.9135802469136,50,3.08641975308642
16,"(03) Punjab 03",810,207,42.7160493827161,44.4444444444444,1.72839506172839
16,"(10) Bihar 10",638,132,35.5799373040752,31.8181818181818,-3.76175548589342
16,"(19) West Bengal 19",451,128,41.2416851441242,39.84375,-1.39793514412417
16,"(21) Orissa 21",250,23,31.6,47.8260869565217,16.2260869565217
16,"(23) Madhya Pradesh 23",412,35,50.9708737864078,31.4285714285714,-19.5423023578363
16,"(24) Gujarat 24",309,42,42.3948220064725,47.6190476190476,5.22422561257512
16,"(27) Maharashtra 27",196,58,54.0816326530612,63.7931034482759,9.71147079521464
16,"(28) Andhra Pradesh 28",454,171,43.1718061674009,49.7076023391813,6.5357961717804
16,"(29) Karnataka 29",536,109,48.3208955223881,50.4587155963303,2.13782007394222
16,"(33) Tamil Nadu 33",70,115,54.2857142857143,54.7826086956522,0.496894409937887
17,"(06) Haryana 06",454,257,49.5594713656388,30.3501945525292,-19.2092768131096
17,"(18) Assam 18",602,278,40.531561461794,35.6115107913669,-4.92005067042711
17,"(19) West Bengal 19",716,103,29.7486033519553,33.9805825242718,4.23197917231654
17,"(21) Orissa 21",306,69,33.0065359477124,39.1304347826087,6.12389883489628
17,"(27) Maharashtra 27",408,78,44.3627450980392,57.6923076923077,13.3295625942685
17,"(29) Karnataka 29",569,192,53.9543057996485,55.7291666666667,1.77486086701816
18,"(06) Haryana 06",1019,137,32.2865554465162,31.3868613138686,-0.899694132647575
18,"(19) West Bengal 19",324,51,32.0987654320988,31.3725490196078,-0.726216412490924
18,"(21) Orissa 21",445,268,31.9101123595506,40.2985074626866,8.388395103136
18,"(27) Maharashtra 27",600,59,42.3333333333333,30.5084745762712,-11.8248587570621
18,"(28) Andhra Pradesh 28",217,120,50.2304147465438,55,4.76958525345622
18,"(29) Karnataka 29",732,228,53.551912568306,44.2982456140351,-9.25366695427093
19,"(06) Haryana 06",489,369,44.5807770961145,40.650406504065,-3.93037059204948
19,"(09) Uttar Pradesh 09",167,64,31.7365269461078,35.9375,4.20097305389222
19,"(18) Assam 18",98,31,24.4897959183673,29.0322580645161,4.54246214614879
19,"(21) Orissa 21",352,118,26.7045454545455,37.2881355932203,10.5835901386749
19,"(24) Gujarat 24",1061,108,48.1621112158341,47.2222222222222,-0.939888993611895
19,"(28) Andhra Pradesh 28",96,61,22.9166666666667,26.2295081967213,3.31284153005465
19,"(29) Karnataka 29",1224,327,55.2287581699346,56.2691131498471,1.04035497991245
20,"(08) Rajasthan 08",657,313,46.2709284627093,46.0063897763578,-0.26453868635145
20,"(21) Orissa 21",58,110,46.551724137931,38.1818181818182,-8.36990595611285
20,"(23) Madhya Pradesh 23",552,149,59.0579710144928,57.7181208053691,-1.33985020912362
20,"(27) Maharashtra 27",604,68,55.794701986755,63.2352941176471,7.44059213089209
20,"(28) Andhra Pradesh 28",431,183,46.1716937354988,57.3770491803279,11.205355444829
20,"(29) Karnataka 29",1190,344,36.7226890756303,36.9186046511628,0.195915575532531
