"district_id","state_id","n_nonmuslim","n_muslim","employment_rate_nonmuslim","employment_rate_muslim","within_gap"
12,"(23) Madhya Pradesh 23",909,64,51.2651265126513,60.9375,9.67237348734874
12,"(24) Gujarat 24",906,114,48.233995584989,51.7543859649123,3.52039037992332
12,"(29) Karnataka 29",1125,131,47.7333333333333,45.0381679389313,-2.69516539440204
13,"(01) Jammu & Kashmir 01",1182,31,43.824027072758,25.8064516129032,-18.0175754598548
13,"(05) Uttarakhand 05",420,294,42.3809523809524,25.5102040816327,-16.8707482993197
13,"(08) Rajasthan 08",825,62,48.7272727272727,37.0967741935484,-11.6304985337243
13,"(20) Jharkhand 20",532,146,29.1353383458647,32.8767123287671,3.74137398290246
13,"(24) Gujarat 24",111,45,36.9369369369369,26.6666666666667,-10.2702702702703
14,"(08) Rajasthan 08",294,223,36.734693877551,24.6636771300448,-12.0710167475062
14,"(09) Uttar Pradesh 09",557,163,44.524236983842,30.0613496932515,-14.4628872905905
14,"(10) Bihar 10",654,200,38.3792048929664,31,-7.37920489296636
14,"(18) Assam 18",149,39,20.1342281879195,28.2051282051282,8.07090001720874
14,"(20) Jharkhand 20",858,242,54.8951048951049,31.404958677686,-23.4901462174189
14,"(24) Gujarat 24",133,76,38.3458646616541,30.2631578947368,-8.08270676691729
14,"(32) Kerala 32",449,82,29.8440979955457,23.1707317073171,-6.67336628822859
15,"(08) Rajasthan 08",1092,349,46.7032967032967,42.9799426934097,-3.72335400988696
15,"(09) Uttar Pradesh 09",381,108,36.2204724409449,26.8518518518519,-9.36862058909303
15,"(24) Gujarat 24",477,31,41.0901467505241,38.7096774193548,-2.38046933116927
15,"(28) Andhra Pradesh 28",580,44,44.3103448275862,34.0909090909091,-10.2194357366771
15,"(29) Karnataka 29",631,150,56.418383518225,33.3333333333333,-23.0850501848917
16,"(03) Punjab 03",964,53,43.1535269709544,41.5094339622642,-1.64409300869021
16,"(10) Bihar 10",648,122,36.4197530864198,27.0491803278689,-9.3705727585509
16,"(19) West Bengal 19",436,143,39.2201834862385,46.1538461538462,6.93366266760762
16,"(23) Madhya Pradesh 23",416,31,50.7211538461538,32.258064516129,-18.4630893300248
