"district_id","state_id","n_non","n_adivasi","emp_rate_non","emp_rate_adivasi","within_gap"
29,"(27) Maharashtra 27",201,30,32.3383084577114,50,17.6616915422886
29,"(29) Karnataka 29",327,27,52.2935779816514,77.7777777777778,25.4841997961264
30,"(27) Maharashtra 27",1256,52,37.0222929936306,50,12.9777070063694
31,"(27) Maharashtra 27",1134,30,40.1234567901235,40,-0.123456790123456
32,"(08) Rajasthan 08",904,80,54.2035398230089,58.75,4.54646017699115
32,"(10) Bihar 10",1133,26,30.9796999117387,42.3076923076923,11.3279923959536
35,"(23) Madhya Pradesh 23",549,264,56.8306010928962,64.7727272727273,7.94212617983109
36,"(23) Madhya Pradesh 23",364,43,62.0879120879121,58.1395348837209,-3.94837720419115
37,"(23) Madhya Pradesh 23",483,24,53.0020703933747,33.3333333333333,-19.6687370600414
41,"(23) Madhya Pradesh 23",63,163,60.3174603174603,72.3926380368098,12.0751777193495
42,"(23) Madhya Pradesh 23",116,182,62.9310344827586,70.3296703296703,7.39863584691172
44,"(23) Madhya Pradesh 23",312,106,56.0897435897436,62.2641509433962,6.17440735365263
45,"(09) Uttar Pradesh 09",725,68,40.1379310344828,47.0588235294118,6.920892494929
59,"(09) Uttar Pradesh 09",686,105,44.3148688046647,56.1904761904762,11.8756073858115
63,"(09) Uttar Pradesh 09",223,30,37.6681614349776,20,-17.6681614349776
65,"(09) Uttar Pradesh 09",1293,37,43.0781129156999,35.1351351351351,-7.94297778056479
67,"(09) Uttar Pradesh 09",657,37,40.6392694063927,21.6216216216216,-19.0176477847711
68,"(09) Uttar Pradesh 09",888,39,45.6081081081081,41.025641025641,-4.58246708246708
